study_id,condition
NCT05357066,Fibromyalgia
NCT05357066,Central Neuropathic Pain
NCT01906866,Sleep Disorders
NCT02701166,Primary Biliary Cholangitis
NCT02701166,Primary Sclerosing Cholangitis
NCT02701166,Secondary Sclerosing Cholangitis
NCT00565422,Internet Addiction
NCT03054922,Anesthesia
NCT03468322,Inherited Epidermolysis Bullosa
NCT02401256,Healthy
NCT00006222,Sarcoma
NCT06823856,Diabetes Mellitus Type 2
NCT03099122,End-stage Renal Disease
NCT00443222,Refractory Myositis
NCT07201922,Familial Pulmonary Fibrosis
NCT07201922,Interstitial Lung Abnormalities
NCT07201922,Interstitial Lung Diseases
NCT01129622,Breast Cancer
NCT00001422,"Arthritis, Psoriatic"
NCT00001422,Psoriasis
NCT05756322,Relapsed or Resistant Acute Leukaemias
NCT05355051,Hodgkin's Lymphoma
NCT01975129,Vaginal Atrophy
NCT06690229,"Caries,Dental"
NCT01686802,Post-operative Pain
NCT00829231,Liver Disease
NCT04432831,Diabetic Macular Edema
NCT05225831,CD19+ and CD 22+ B-ALL
NCT06219902,Vasomotor Symptoms as a Sex Hormone-dependent Disorder in Women and Men
NCT06219902,Hot Flashes
NCT07495631,"Acute Lymphoblastic Leukemia, Adult"
NCT06976853,Crohn Disease (CD)
NCT06003231,"Carcinoma, Non-Small-Cell Lung"
NCT06003231,Ovarian Neoplasms
NCT06003231,Endometrial Neoplasms
NCT06003231,Head and Neck Neoplasms
NCT03239145,Advanced Solid Tumor
NCT03489837,Evaluate the Efficacy and Safety of Levotuss CR Tab. in Comparison With Levotuss Syrup in Patients With Cough Due to Acute or Chronic Bronchitis
NCT03535545,Pulmonary Fibrosis
NCT03535545,Lung Cancer
NCT02438072,Depression
NCT03436472,Aged
NCT03436472,Operative
NCT03436472,Delirium
NCT03436472,Dexmedetomidine
NCT03436472,Mortality
NCT03436472,Long-term Survivors
NCT05194072,Ovarian Neoplasms
NCT05194072,Peritoneal Neoplasms
NCT05194072,Fallopian Tube Neoplasms
NCT05194072,Triple Negative Breast Neoplasms
NCT05194072,HER2 Negative Breast Neoplasms
NCT05194072,Hormone Receptor Positive Breast Neoplasms
NCT05194072,Endometrial Neoplasms
NCT05194072,"Carcinoma, Non-Small-Cell Lung"
NCT05194072,Cholangiocarcinoma
NCT05194072,Gallbladder Carcinoma
NCT05194072,Adenoid Cystic Carcinoma
NCT06968572,Advanced Solid Tumors
NCT06391372,Pelvic Organ Prolapse
NCT06391372,Pelvic Floor Disorders
NCT06391372,Menopause
NCT06391372,Vaginal Atrophy
NCT02581072,Acne Vulgaris
NCT04677972,Meniere Disease
NCT04677972,Ménière
NCT02744495,Postoperative Vomiting
NCT02744495,Postoperative Nausea
NCT02744495,Postoperative Emesis
NCT05611372,REM Sleep Behavior Disorder
NCT05611372,Parkinson Disease
NCT05611372,Synucleinopathies
NCT02851472,Anemia
NCT01181895,Asthma
NCT00001962,Aplastic Anemia
NCT00001962,Pure Red Cell Aplasia
NCT00001962,Diamond Blackfan Anemia
NCT01079962,Hypertension
NCT07144462,Autoimmune
NCT00098046,Chickenpox
NCT00098046,Herpes Zoster
NCT02104388,Corneal Epithelial Disorders
NCT04404088,Ann Arbor Stage III Grade 1 Follicular Lymphoma
NCT04404088,Ann Arbor Stage III Grade 2 Follicular Lymphoma
NCT04404088,Ann Arbor Stage III Grade 3 Follicular Lymphoma
NCT04404088,Ann Arbor Stage IV Grade 1 Follicular Lymphoma
NCT04404088,Ann Arbor Stage IV Grade 2 Follicular Lymphoma
NCT04404088,Ann Arbor Stage IV Grade 3 Follicular Lymphoma
NCT04404088,Grade 3a Follicular Lymphoma
NCT03910088,Post-Dural Puncture Headache
NCT03332888,Heart Failure With Reduced Ejection Fraction
NCT07683403,Colorectal Cancer (CRC)
NCT03340103,Antioxidant Role of the Lutein in Preterm Newborn
NCT06196203,Higher-risk Myelodysplastic Syndromes
NCT03654703,Hematopoietic System--Cancer
NCT01545427,Scleroderma
NCT05249127,Biochemical Recurrence of Malignant Neoplasm of Prostate
NCT04509661,Bronchiectasis Adult
NCT00003261,Lymphoma
NCT02010242,Type 2 Diabetes Mellitus With Diabetic Nephropathy
NCT02067442,Pain
NCT00411242,Major Depressive Disorder (MDD)
NCT01007942,HER2/Neu Over-expressing Locally Advanced Breast Cancer
NCT01007942,Metastatic Breast Cancer
NCT01187186,Liver Disease
NCT00034086,HIV Infections
NCT06666270,Advanced Solid Cancer
NCT06666270,Metastatic Solid Tumor
NCT06666270,Ovarian Cancer
NCT06666270,Breast Cancer
NCT06666270,Prostate Cancer
NCT06666270,BRCA Mutation
NCT06666270,HRR Deficiency
NCT01525173,Glaucoma
NCT01525173,Ocular Hypertension
NCT02111473,Hypogonadism
NCT03785873,Biliary Tract Cancer
NCT02216669,Solid Tumors
NCT02216669,Head and Neck Neoplasms
NCT03281369,Gastric Adenocarcinoma or Gastroesophageal Junction Adenocarcinoma or Esophageal Carcinoma
NCT02048683,ICU Patients With Indication of Sedation
NCT02709083,Chronic Myelogenous Leukemia
NCT02709083,Chronic Myeloid Leukemia
NCT02709083,Leukemia
NCT00170183,Kidney Diseases
NCT00170183,Congestive Heart Failure
NCT00170183,Cardiomyopathy
NCT05257941,Surgery
NCT07657741,Septic Shock
NCT07657741,Microcirculatory Dysfunction
NCT07657741,Sublingual Microcirculation
NCT07657741,Hemodynamic Instability
NCT02326441,Advance Malignancies
NCT07282041,Intracranial Atherosclerosis
NCT07282041,"Stroke, Ischemic"
NCT00603941,Anaplastic Thyroid Cancer
NCT00605241,Substance Dependence
NCT01673854,Melanoma
NCT04635605,SARS-CoV2
NCT05355805,Hidradenitis Suppurativa
NCT05549505,Breast Cancer
NCT05037851,Pulmonary Aspergillosis
NCT01360866,Depressive Disorder
NCT01360866,Depression
NCT01360866,"Depressive Disorder, Major"
NCT01360866,Mood Disorders
NCT01360866,Mental Disorders
NCT04996056,Cocaine Intoxication
NCT05163756,Gastritis Acute
NCT05163756,Gastritis Chronic
NCT02793856,Metastatic Non-small Cell Lung Cancer
NCT01345851,Adenocarcinoma of the Lung
NCT01345851,Adenosquamous Cell Lung Cancer
NCT01345851,Large Cell Lung Cancer
NCT01345851,Recurrent Non-small Cell Lung Cancer
NCT01345851,Squamous Cell Lung Cancer
NCT01345851,Stage IIA Non-small Cell Lung Cancer
NCT01345851,Stage IIB Non-small Cell Lung Cancer
NCT01345851,Stage IIIA Non-small Cell Lung Cancer
NCT01345851,Stage IIIB Non-small Cell Lung Cancer
NCT03599622,Granulomatous Colitis
NCT03599622,Crohn's Disease
NCT03599622,Crohn's Enteritis
NCT03599622,Granulomatous Enteritis
NCT00081822,Acute Myeloid Leukemia
NCT02958202,Duchenne Muscular Dystrophy
NCT01602302,Rheumatoid Arthritis
NCT03427502,"Postoperative Agitation: Impaired Awareness, Abnormal Cognitive Function, Confusion, and Verbal and Physical Agitation During Recovery From General Anesthesia"
NCT03427502,Deviated Nasal Septum
NCT03427502,Chronic Rhinosinusitis (Diagnosis)
NCT03427502,Nasal Polyps
NCT05890729,Pulmonary Sarcoidosis
NCT01638429,Diabetes
NCT01638429,Obesity
NCT02918929,Presumptive NAFLD
NCT02537002,Healthy
NCT04973137,Light Chain (AL) Amyloidosis
NCT01400737,Oral Ibuprofen Prophylaxis in Very Low Birth Weight Infants
NCT01222845,"Postprandial Glycaemia,"
NCT01222845,Postprandial Insulinaemia
NCT01222845,Appetite
NCT00698945,Ocular Hypertension
NCT00698945,Open-Angle Glaucoma
NCT07658872,Gastric Adenocarcinoma
NCT07658872,Esophagogastric Junction Adenocarcinoma
NCT05093972,Hepatic Insufficiency
NCT00939172,Advanced Cancers
NCT00939172,Lymphoma
NCT06648772,Plaque Psoriasis
NCT02582372,Dexmedetomidine in Subarachnoidal Anesthesia
NCT05948072,Colorectal Cancer
NCT05948072,Liver Metastases
NCT03440372,Crohn Disease
NCT00785395,Uterine Atony
NCT05623995,In-stent Restenosis
NCT05623995,Major Adverse Cardiovascular Events
NCT03432195,Alzheimer's Disease
NCT03212495,Knee Injuries
NCT05890495,Contraception
NCT00011895,HIV Infections
NCT00189995,Schizophrenia
NCT00080795,Bladder Cancer
NCT00080795,Transitional Cell Cancer of the Renal Pelvis and Ureter
NCT00080795,Urethral Cancer
NCT00992095,Opioid-Related Disorders
NCT00171795,Traumatic Brain Injury
NCT01690195,Alzheimer's Disease
NCT07581795,Advanced HER2-positive Breast Cancer
NCT00045695,Lymphoma
NCT00526695,Ischemia/Reperfusion Injury
NCT02184195,Germline BRCA1/2 Mutations and
NCT02184195,Metastatic Adenocarcinoma of the Pancreas
NCT03968939,Primary Total Hip Arthroplasty
NCT03968939,Primary Total Knee Arthroplasty
NCT00517439,"Hepatitis C, Chronic"
NCT04570839,Endometrial Neoplasms
NCT04570839,Ovarian Cancer
NCT04570839,Solid Tumor
NCT04570839,Head and Neck Cancer
NCT02285439,Low-Grade Gliomas
NCT02285439,"Malignant Neoplasms, Brain"
NCT02285439,Soft Tissue Neoplasms
NCT00406575,Congestive Heart Failure (CHF)
NCT00634075,Severe Sepsis
NCT05582577,Diabetic Macular Edema
NCT07288177,Non-small Cell Lung Cancer (NSCLC)
NCT06993675,Multiple Myeloma
NCT05091775,Fissure in Ano
NCT05091775,Diarrhea
NCT01135862,Aspirin Treatment
NCT01135862,Traumatic Intracranial Bleed
NCT01135862,Hemorrhage Growth
NCT01135862,Neurological Outcome
NCT00559962,Hyperlipidemia
NCT05830162,Obstetric Trauma
NCT05830162,Infections
NCT05830162,Wound Dehiscence
NCT01154062,Macular Degeneration
NCT05212246,Basal Cell Carcinoma
NCT00654446,Fredrickson Type IIa & Type IIb Dyslipidaemia
NCT00729846,Age Related Macular Degeneration
NCT00729846,Choroidal Neovascularization
NCT00729846,Macular Edema
NCT01304303,Solid Tumor in Advanced Stage
NCT04703088,Hypotension
NCT04703088,"Anesthesia; Adverse Effect, Spinal and Epidural"
NCT04703088,Cesarean Section
NCT02721888,Type 2 Diabetes
NCT07214727,Alzheimer's Disease
NCT00665327,Pneumonia
NCT00725127,Type 2 Diabetes
NCT00361842,Colorectal Neoplasms
NCT05642442,Parkinson Disease
NCT05642442,Tremor
NCT03942042,Generalized Pustular Psoriasis
NCT03942042,Erythrodermic Psoriasis
NCT04423861,covid19
NCT02363361,Cervical Spinal Cord Injury
NCT07123870,Postoperative Recovery
NCT07123870,Inhalation Anesthesia
NCT07123870,Total Intravenous Anesthesia
NCT01968070,Healthy Volunteers
NCT01133873,Healthy
NCT00877773,Advanced Cancers
NCT05223673,Metastatic Colorectal Cancer
NCT00972673,Asthma
NCT02667873,Solid Tumors
NCT04342169,Coronavirus Infection
NCT04342169,Coronavirus
NCT04342169,Infectious Disease
NCT02706483,Irritable Bowel Syndrome
NCT01721941,Hepatocellular Carcinoma
NCT05651841,"Airway Remodelling, Asthmatic"
NCT00002883,Esophageal Cancer
NCT00002883,Gastric Cancer
NCT00873041,Non-transfusion Dependent Thalassemia
NCT02915354,"Spondylitis, Ankylosing"
NCT02915354,Recurrence
NCT00453154,Extensive Stage Lung Small Cell Carcinoma
NCT00453154,Recurrent Lung Small Cell Carcinoma
NCT02559154,Multiple Myeloma
NCT05983354,Acute Migraine Headache
NCT00263354,Stomach Neoplasms
NCT01258205,Crohn's Disease
NCT00427505,Healthy
NCT03668405,Alzheimer's Disease
NCT03901105,Alzheimer Disease
NCT04326894,Pain Reduction
NCT04326894,Physical Function Improvement
NCT05199194,"Stroke, Ischemic"
NCT05199194,"Stroke, Acute"
NCT06644794,"Infertility, Female"
NCT01200394,Diabetic Nephropathies
NCT06325566,Degenerative Disc Disease
NCT04983966,Lumbar Fusion Surgery
NCT03997266,Microbial Colonization
NCT03997266,Extreme Prematurity
NCT03997266,Early-Onset Neonatal Sepsis
NCT03997266,Late-Onset Neonatal Sepsis
NCT03997266,Necrotizing Enterocolitis of Newborn
NCT03997266,Death; Neonatal
NCT02753166,Trauma
NCT02185066,Healthy Volunteers
NCT01934166,Renal Impairment
NCT04169256,Acute Postoperative Pain
NCT02810756,Pharmacokinetics of Pazopanib
NCT00947856,"Disease, Hodgkin"
NCT00947856,"Lymphoma, Large-Cell, Anaplastic"
NCT00947856,"Lymphoma, Non-Hodgkin"
NCT02883556,"Carcinoma, Squamous Cell"
NCT06439056,Type 2 Diabetes
NCT00267956,Psoriatic Arthritis
NCT02183051,Pain
NCT00730756,"Rhinitis, Allergic, Perennial"
NCT02576951,Healthy
NCT00370851,Retinal Disease
NCT02530151,Femoracetabular Impingement
NCT02530151,"Pain, Postoperative"
NCT06599151,Nerve Pain
NCT06599151,Neuropathic Pain
NCT06599151,Nociceptive Pain
NCT06599151,MIxed Pain (Nociceptive and Neuropathic)
NCT02973451,Post Operative Local Anaesthesia
NCT01603251,Malaria
NCT00235651,Lung Transplantation
NCT00235651,Lung Diseases
NCT05461131,Pertussis/Whooping Cough
NCT05461131,"Bordetella Pertussis, Whooping Cough"
NCT06388031,Non-small Cell Lung Cancer
NCT00939731,Healthy
NCT04301531,Malaria Asymptomatic Parasitaemia
NCT01165502,Healthy
NCT04990102,Acute Myeloid Leukemia (AML) in Remission
NCT00899431,Chronic Lymphocytic Leukemia
NCT04756531,Healthy Participants
NCT02051231,Postpartum Hemorrhage
NCT03530631,Expectancy Versus Pharmacotherapy Effect of Adderall
NCT01539031,Alzheimer's Type Dementia
NCT02832531,Rheumatic Heart Disease
NCT01162031,Leukemia
NCT01162031,Acute Lymphocytic Leukemia
NCT03626831,Atherosclerotic Cardiovascular Disease
NCT01088802,Squamous Cell Carcinoma of Oropharynx
NCT01915602,"Carcinoma, Hepatocellular"
NCT02946437,Subarachnoid Haemorrhage (SAH)
NCT00362037,Hypertension
NCT00833937,Healthy
NCT04514237,Healthy Participants
NCT06244745,Luteinised Follicular Cyst
NCT07461545,Cirrhosis
NCT07461545,Splenectomy
NCT07461545,Portal Vein Thrombosis
NCT07461545,"Hypertension, Portal"
NCT00410345,"Abortion, Missed"
NCT00932945,Hygiene
NCT05275972,Fuchs
NCT05275972,Fuchs Dystrophy
NCT05275972,Fuchs' Endothelial Dystrophy
NCT04295772,HIV-1 Infection
NCT05591872,Radial Artery Occlusion
NCT03644472,Postmenopausal Women
NCT04725695,"Anesthetics, Local"
NCT04725695,Esophagogastroduodenoscopy
NCT03359395,Blood Pressure
NCT03359395,Electroconvulsive Therapy
NCT04212039,Congenital Hip Dysplasia
NCT05168839,Colorectal Cancer
NCT02514577,Plaque Psoriasis
NCT01204177,"Carcinoma, Hepatocellular"
NCT04152577,"Lymphoma, B-Cell"
NCT01993875,Chronic Idiopathic Constipation
NCT00081757,Multiple Myeloma
NCT01553357,Primary Plasma Cell Leukemia
NCT02133157,Tumor
NCT05143957,Phlebotomy Dependent Polycythemia Vera
NCT02634801,Plaque Psoriasis
NCT01412073,Complications; Cesarean Section
NCT07002073,Ketamine-dexmedetomidine Induction of Anesthesia
NCT04918069,Chemotherapy-induced Nausea and Vomiting
NCT06062069,Overweight
NCT06062069,Obese
NCT06062069,Type 1 Diabetes Mellitus
NCT00124969,"Kidney Failure, Chronic"
NCT04452383,Sleep Apnea Syndromes
NCT03746483,Exocrine Pancreatic Insufficiency (EPI)
NCT03746483,Cystic Fibrosis (CF)
NCT04930783,Melanoma
NCT04930783,Metastatic Melanoma
NCT06313541,NSCLC Stage IV
NCT01985841,Breast Cancer
NCT06063941,Esophageal Squamous Cell Carcinoma
NCT00826241,Brain Tumors
NCT00826241,Spinal Cord Tumors
NCT01645254,Malaria
NCT04501354,Osteoporosis
NCT00003954,Refractory Multiple Myeloma
NCT00003954,Stage I Multiple Myeloma
NCT00003954,Stage II Multiple Myeloma
NCT00003954,Stage III Multiple Myeloma
NCT06932705,Mixed Dyslipidemia
NCT01074905,Vivax Malaria
NCT01314105,Ovarian Neoplasms
NCT01314105,Peritoneal Neoplasms
NCT07572994,Myofacial Pain
NCT07572994,Myofacial Pain Syndrome
NCT07572994,Myofacial Pain Syndromes
NCT07572994,"Trigger Point Pain, Myofascial"
NCT07572994,Myofascial Pain Dysfunction Syndrome
NCT03739294,Pharmacokinetics
NCT05269394,Alzheimers Disease
NCT05269394,Dementia
NCT05269394,"Alzheimers Disease, Familial"
NCT00661505,Anemia
NCT02089594,Post-Concussion Syndrome
NCT02089594,Traumatic Brain Injury
NCT07169994,Advanced Solid Tumors
NCT07169994,Breast Cancer
NCT07169994,Non Small Cell Lung Cancer
NCT07047066,Glioblastoma
NCT01440166,Healthy
NCT04296266,Submandibular Gland Tumor
NCT04296266,Parotid Gland Tumor
NCT01980056,Myelodysplastic Syndrome
NCT04227756,Healthy
NCT04616456,Multiple System Atrophy
NCT04616456,"Multiple System Atrophy, Cerebellar Variant"
NCT04616456,"Multiple System Atrophy, Parkinson Variant (Disorder)"
NCT04616456,Multiple System Atrophy (MSA) With Orthostatic Hypotension
NCT01884922,Refractory Low-grade Gliomas
NCT01884922,Recurrent Low-grade Gliomas
NCT01720056,Keloid Scars
NCT01813422,Hypercholesterolemia
NCT00486122,Attention Deficit Hyperactivity Disorder
NCT00976222,Pigment Epithelial Detachment
NCT02060656,Diffuse Large B-Cell Lymphoma
NCT06673056,Ataxia-Telangiectasia
NCT06673056,Ataxia-Telangiectasia (A-T)
NCT02688556,Keratoconjunctivitis Sicca
NCT04372602,COVID-19
NCT01461031,Pain
NCT01461031,Orthognathic Surgery
NCT00445302,Renal Impairment
NCT03166631,Neoplasms
NCT03166631,Neoplasm Metastasis
NCT03166631,"Carcinoma, Non-Small-Cell Lung"
NCT03580031,LUF - Luteinised Unruptured Follicle Syndrome
NCT03158831,Drug Hypersensitivity
NCT03158831,Penicillin Allergy
NCT03158831,Antibiotic Allergy
NCT07077902,Hidradenitis Suppurativa
NCT05092802,"Brain Tumor, Primary"
NCT01630902,Healthy
NCT05843253,High Grade Glioma
NCT05843253,Diffuse Intrinsic Pontine Glioma
NCT05843253,Anaplastic Astrocytoma
NCT05843253,Glioblastoma
NCT05843253,Glioblastoma Multiforme
NCT05843253,"Diffuse Midline Glioma, H3 K27M-Mutant"
NCT05843253,Metastatic Brain Tumor
NCT05843253,WHO Grade III Glioma
NCT05843253,WHO Grade IV Glioma
NCT05843253,"Diffuse Hemispheric Glioma, H3 G34-Mutant"
NCT02580253,Hepatocellular Carcinoma
NCT04392037,Multiple Myeloma
NCT06426537,ST-Elevation Myocardial Infarction
NCT05299437,Metastatic Differentiated Thyroid Cancer
NCT00266253,Diabetes Mellitus Type 2
NCT04830137,Chronic Lymphocytic Leukemia (CLL)
NCT04830137,Small Lymphocytic Lymphoma (SLL)
NCT04830137,Waldenstrom Macroglobulinemia (WM)
NCT04830137,Mantle Cell Lymphoma (MCL)
NCT04830137,Marginal Zone Lymphoma (MZL)
NCT04830137,Follicular Lymphoma (FL)
NCT04830137,Diffuse Large B-cell Lymphoma (DLBCL)
NCT04830137,Primary Central Nervous System Lymphoma (PCNSL)
NCT00815945,Mesenchymal Tumor
NCT00815945,Carcinosarcoma
NCT00815945,Leiomyosarcoma
NCT01588145,Non Small Cell Lung Cancer
NCT05841472,Non Squamous Non Small Cell Lung Cancer
NCT02320045,Renal Insufficiency
NCT02686645,Clostridium Difficile Infection
NCT01572545,Postmenopausal Osteoporosis
NCT02066545,Acne Vulgaris
NCT05987072,Respiratory Syncytial Virus Infection
NCT05144295,Clinical Efficacy
NCT05144295,Treatment Efficacy
NCT05144295,Drug Side Effect
NCT00828139,Extensive Stage Small Cell Lung Cancer
NCT00828139,Recurrent Small Cell Lung Cancer
NCT01093677,Impaired Glucose Tolerance
NCT00000275,Cocaine-Related Disorders
NCT05665075,"AML, Adult"
NCT01802775,Peripheral Arterial Disease
NCT00800475,Bioavailability
NCT04224675,Aneurysm
NCT00268957,Kidney Diseases
NCT00268957,Chronic Renal Insufficiency
NCT00268957,End-Stage Renal Disease
NCT03621657,Clostridium Difficile Infection
NCT03621657,C.Difficile Diarrhea
NCT03621657,CDI
NCT05739877,Healthy
NCT03760575,Mesotheliomas Pleural
NCT07682675,Adenoid Cystic Carcinoma of the Salivary Gland
NCT07682675,Recurrence
NCT07682675,Metastatic Disease
NCT01986075,Cocaine Dependence
NCT02068157,Recurrent Laryngeal Squamous Cell Carcinoma
NCT02068157,Recurrent Laryngeal Verrucous Carcinoma
NCT02068157,Recurrent Lip and Oral Cavity Squamous Cell Carcinoma
NCT02068157,Recurrent Metastatic Squamous Cell Carcinoma in the Neck With Occult Primary
NCT02068157,Recurrent Oral Cavity Verrucous Carcinoma
NCT02068157,Recurrent Oropharyngeal Squamous Cell Carcinoma
NCT02068157,Tongue Carcinoma
NCT04194957,Neoplasms
NCT03034057,Contraception
NCT03498001,Type II Diabetes
NCT01102101,"Neuralgia, Postherpetic"
NCT07121101,Postoperative Analgesia After Unilateral Hip Arthroplasty
NCT03654612,Head and Neck Cancer
NCT05022212,Bacterial Vaginosis
NCT05022212,HIV Infections
NCT01699412,Graft vs Host Disease
NCT01699412,Oral Manifestations
NCT06257212,Trained Innate Immunity
NCT06257212,COPD
NCT07254481,Hypertension
NCT00513019,Neurotic Excoriation
NCT00513019,Pathologic Skin Picking
NCT00513019,Psychogenic Excoriation
NCT00513019,Dermatillomania
NCT01142219,Sickle Cell Disease
NCT04062019,Inflammatory Myopathy
NCT00236119,Psoriasis
NCT00288730,"Heart Failure, Congestive"
NCT00288730,Heart Decompensation
NCT00906828,Parkinson Disease
NCT00223730,Cancer
NCT06106828,Thyroid Eye Disease
NCT02225665,Human Immunodeficiency Virus (HIV)
NCT01714765,Metastatic Clear Cell Renal Cancer
NCT01262365,Systemic Lupus Erythematosus
NCT00496665,Metastatic Breast Cancer
NCT04198467,Knee Osteoarthritis
NCT04899427,Primary Central Nervous System Lymphoma
NCT05142527,COVID-19
NCT04167761,Cardiovascular Diseases
NCT04167761,Atherosclerosis
NCT04167761,Type 2 Diabetes
NCT04167761,Insulin Resistance
NCT02649361,Esophageal Squamous Cell Carcinoma
NCT04650542,Drug-drug Interaction
NCT01147042,IFN-Gamma Therapy
NCT01147042,CGD Gene Mutation
NCT01147042,CGD Response to IFNg
NCT01147042,CGD - Chronic Granulomatous Disease
NCT01147042,Immunodeficiency Disease
NCT04743986,Rotator Cuff Injuries
NCT05205486,Infections
NCT01220570,Breast Cancer
NCT02578186,Occasional Sleeplessness
NCT01126073,Coronary Heart Disease
NCT03163173,Healthy Volunteers
NCT03163173,Healthy
NCT00236873,Epilepsy
NCT00236873,"Epilepsies, Partial"
NCT00236873,Seizures
NCT03917069,Advanced Melanoma
NCT02350569,Hepatitis C Virus Infection
NCT06644183,Leukemia
NCT06644183,Relapsed Leukemia
NCT06644183,Chronic Lymphocytic Leukemia
NCT06644183,Relapsed Cancer
NCT06644183,Refractory Leukemia
NCT00935883,Age-Related Macular Degeneration
NCT05784441,Relapsed or Refractory B Cell Non-Hodgkin Lymphoma
NCT03101241,Essential Tremor
NCT00272441,Asthma
NCT00272441,Lung Diseases
NCT05701241,Gastroenteropancreatic Neuroendocrine Tumor
NCT04724369,Neuroblastoma
NCT01333605,Hodgkin Lymphoma
NCT04146805,Chronic Liver Disease
NCT04146805,NASH - Nonalcoholic Steatohepatitis
NCT06325605,Adolescent Depression
NCT07283094,Acute Myeloid Leukemia
NCT07283094,Myelodysplastic Syndrome
NCT00511394,Cirrhosis
NCT00511394,Ascites
NCT06821594,Cutaneous Warts
NCT06072794,Premature Ovarian Insufficiency
NCT06072794,Diminished Ovarian Reserve
NCT04329494,Clinical Stage IV Gastric Cancer AJCC v8
NCT04329494,Clinical Stage IVA Gastric Cancer AJCC v8
NCT04329494,Clinical Stage IVB Gastric Cancer AJCC v8
NCT04329494,Malignant Uterine Neoplasm
NCT04329494,Metastatic Appendix Carcinoma
NCT04329494,Metastatic Colorectal Carcinoma
NCT04329494,Metastatic Gastric Carcinoma
NCT04329494,Metastatic Malignant Neoplasm in the Peritoneum
NCT04329494,Metastatic Malignant Solid Neoplasm
NCT04329494,Metastatic Ovarian Carcinoma
NCT04329494,Pathologic Stage IV Gastric Cancer AJCC v8
NCT04329494,Peritoneal Carcinomatosis
NCT04329494,Postneoadjuvant Therapy Stage IV Gastric Cancer AJCC v8
NCT04329494,Stage IV Appendix Carcinoma AJCC v8
NCT04329494,Stage IV Colorectal Cancer AJCC v8
NCT04329494,Stage IV Ovarian Cancer AJCC v8
NCT04329494,Stage IV Uterine Corpus Cancer AJCC v8
NCT04329494,Stage IVA Appendix Carcinoma AJCC v8
NCT04329494,Stage IVA Colorectal Cancer AJCC v8
NCT04329494,Stage IVA Ovarian Cancer AJCC v8
NCT04329494,Stage IVA Uterine Corpus Cancer AJCC v8
NCT04329494,Stage IVB Appendix Carcinoma AJCC v8
NCT04329494,Stage IVB Colorectal Cancer AJCC v8
NCT04329494,Stage IVB Ovarian Cancer AJCC v8
NCT04329494,Stage IVB Uterine Corpus Cancer AJCC v8
NCT04329494,Stage IVC Appendix Carcinoma AJCC v8
NCT04329494,Stage IVC Colorectal Cancer AJCC v8
NCT00005866,Leukemia
NCT00005866,Myelodysplastic Syndromes
NCT07118566,Gastrointestinal Cancer
NCT07118566,Immunotherapy
NCT07118566,Liver Metastasis
NCT00573066,Hypoplastic Left Heart
NCT00573066,Tetralogy of Fallot
NCT00573066,Tricuspid Atresia
NCT00931866,Acute Pain
NCT00931866,Soft Tissue Injury
NCT04190966,Smoking Cessation
NCT04190966,Thoracic Surgery
NCT02422056,Cleft Palate
NCT02422056,Hemorrhage
NCT00387556,Conscious Sedation
NCT03295656,Appendicitis Acute
NCT02108756,Bleeding Gastric Ulcer
NCT02108756,Bleeding Duodenal Ulcer
NCT06514222,Post Operative Pain
NCT06514222,Impacted Third Molar Tooth
NCT05751356,Advanced Solid Tumor
NCT01744756,Recurrent Pterygium
NCT01777256,Systemic Lupus Erythematosus
NCT05506956,"Leukemia, Myeloid, Acute"
NCT03637556,Thalassemia Major
NCT00257556,Infertility
NCT06792422,Primary Open Angle Glaucoma (POAG)
NCT06792422,Open-Angle Glaucoma
NCT06792422,Glaucoma
NCT03365622,Nephrectomy
NCT02111122,Sleep-wake Disturbances in Motor-phase Parkinson's Disease
NCT00877929,Hypertension
NCT06289829,"Adult, Laryngeal Masks, Remimazolam, Remifentanil"
NCT04775329,Decompensated Cirrhosis
NCT04775329,Small Bowel Bacterial Overgrowth Syndrome
NCT05427331,Chronic Insomnia
NCT01636531,Healthy Volunteer
NCT01288131,Anti-r-HuEpo Associated PRCA Subjects
NCT01957631,Plantar Fasciitis
NCT06683131,Acute Myocardial Infarction (AMI)
NCT06754631,Asthma in Children
NCT00435331,Pulmonary Arterial Hypertension
NCT04314531,Active Psoriatic Arthritis
NCT03804931,Ulcerative Colitis
NCT03804931,Fecal Microbiota Transplantation
NCT03804229,Vascular Dementia
NCT00022529,"Unspecified Adult Solid Tumor, Protocol Specific"
NCT02259829,Healthy
NCT05234853,Advanced Solid Tumors
NCT02931253,Atrial Fibrillation
NCT05588453,Clinical Stage IV Cutaneous Melanoma AJCC v8
NCT05588453,Metastatic Malignant Neoplasm in the Brain
NCT05588453,Metastatic Melanoma
NCT05588453,Pathologic Stage IV Cutaneous Melanoma AJCC v8
NCT02563353,Osteoporosis
NCT01727453,Acute Gastrointestinal Bleeding
NCT05435053,Pancreas Cancer
NCT04704453,Head and Neck Cancer
NCT01187953,Renal Failure
NCT01997853,Chronic Periodontitis
NCT00303953,Recurrent Adult Burkitt Lymphoma
NCT00303953,Recurrent Adult Diffuse Large Cell Lymphoma
NCT07318337,PCOS (Polycystic Ovary Syndrome)
NCT07096037,Osgood-Schlatter Disease
NCT00299845,Gastroesophageal Reflux
NCT01010672,Sarcoma
NCT04731272,Cystic Fibrosis
NCT04731272,Pancreatic Insufficiency
