study_id,sponsor_name,sponsor_type
NCT05506956,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER
NCT05506956,MacroGenics,INDUSTRY
NCT05506956,National Cancer Institute (NCI),NIH
NCT03637556,"DisperSol Technologies, LLC",INDUSTRY
NCT00257556,Ferring Pharmaceuticals,INDUSTRY
NCT06792422,"Glostrup University Hospital, Copenhagen",OTHER
NCT03365622,University of Rochester,OTHER
NCT02111122,Christian Baumann,OTHER
NCT00877929,Boehringer Ingelheim,INDUSTRY
NCT06289829,Yonsei University,OTHER
NCT04775329,Changi General Hospital,OTHER
NCT05427331,Third Military Medical University,OTHER
NCT01636531,Hoffmann-La Roche,INDUSTRY
NCT01288131,Chulalongkorn University,OTHER
NCT01957631,"King Hamad University Hospital, Bahrain",OTHER
NCT06683131,The Affiliated Hospital of Xuzhou Medical University,OTHER
NCT06754631,Muhammad Aamir Latif,OTHER
NCT06754631,Nishtar Medical University,OTHER
NCT00435331,Vanderbilt University,OTHER
NCT00435331,National Institutes of Health (NIH),NIH
NCT00435331,BioMarin Pharmaceutical,INDUSTRY
NCT04314531,Sun Pharmaceutical Industries Limited,INDUSTRY
NCT03804931,Guangzhou First People's Hospital,OTHER
NCT03804229,Capital Medical University,OTHER
NCT03804229,"CSPC-NBP Pharmaceutical Co., Ltd.",INDUSTRY
NCT00022529,National Cancer Institute (NCI),NIH
NCT02259829,Boehringer Ingelheim,INDUSTRY
NCT05234853,"Purinomia Biotech, Inc.",INDUSTRY
NCT02931253,The Guthrie Clinic,OTHER
NCT05588453,Kari Kendra,OTHER
NCT02563353,Odense University Hospital,OTHER
NCT02563353,University of Southern Denmark,OTHER
NCT02563353,"Copenhagen University Hospital, Denmark",OTHER
NCT02563353,Esbjerg Hospital - University Hospital of Southern Denmark,OTHER
NCT02563353,Sygehus Lillebaelt,OTHER
NCT02563353,Odense Patient Data Explorative Network,OTHER
NCT02563353,Region of Southern Denmark,OTHER
NCT01727453,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,OTHER
NCT05435053,Ismail Gögenur,OTHER
NCT04704453,Institut Claudius Regaud,OTHER
NCT01187953,Veloxis Pharmaceuticals,INDUSTRY
NCT01997853,Tatyasaheb Kore Dental College,OTHER
NCT00303953,National Cancer Institute (NCI),NIH
NCT07318337,Mst.Sumyara Khatun,OTHER
NCT07318337,Bangladesh Medical University,OTHER
NCT07096037,"Faculty of Medicine, Sousse",OTHER
NCT00299845,Osaka University,OTHER
NCT01010672,Merck Sharp & Dohme LLC,INDUSTRY
NCT01010672,Ariad Pharmaceuticals,INDUSTRY
NCT04731272,University of Pennsylvania,OTHER
NCT04731272,Children's Hospital of Philadelphia,OTHER
NCT04731272,Children's Hospital Colorado,OTHER
NCT00940472,Laboratorios Silanes S.A. de C.V.,INDUSTRY
NCT01095445,"University Health Network, Toronto",OTHER
NCT01095445,Schering-Plough,INDUSTRY
NCT00893945,Rockefeller University,OTHER
NCT00893945,Memorial Sloan Kettering Cancer Center,OTHER
NCT04588545,H. Lee Moffitt Cancer Center and Research Institute,OTHER
NCT04588545,"Genentech, Inc.",INDUSTRY
NCT02443545,ApoPharma,INDUSTRY
NCT05535972,GlaxoSmithKline,INDUSTRY
NCT02226172,Pfizer,INDUSTRY
NCT00257972,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY
NCT00257972,Otsuka America Pharmaceutical,INDUSTRY
NCT07168395,"University of California, Los Angeles",OTHER
NCT02726295,Keimyung University Dongsan Medical Center,OTHER
NCT05016895,FHI 360,OTHER
NCT05016895,"Ministry of Health, Ivory Coast",UNKNOWN
NCT03484195,"China Medical University, China",OTHER
NCT02489695,Centre Leon Berard,OTHER
NCT05565495,"Xiaobo Yang, MD",OTHER
NCT05431595,M.D. Anderson Cancer Center,OTHER
NCT05431595,Cancer Prevention Research Institute of Texas,OTHER
NCT00318539,AstraZeneca,INDUSTRY
NCT07018739,Mahidol University,OTHER
NCT07018739,Siriraj Hospital,OTHER
NCT01293539,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER
NCT01210339,AstraZeneca,INDUSTRY
NCT06250777,Yonsei University,OTHER
NCT04456777,Alen Greš,OTHER
NCT05821777,Centessa Pharmaceuticals (UK) Limited,INDUSTRY
NCT05821777,LockBody Therapeutics Ltd,INDUSTRY
NCT02070939,Pfizer,INDUSTRY
NCT07204977,National Institute of Neurological Disorders and Stroke (NINDS),NIH
NCT00164177,Braintree Laboratories,INDUSTRY
NCT05400577,Fox Chase Cancer Center,OTHER
NCT03460977,Pfizer,INDUSTRY
NCT03990077,"Shanghai Kechow Pharma, Inc.",INDUSTRY
NCT02631577,Hoffmann-La Roche,INDUSTRY
NCT04062357,Sohag University,OTHER
NCT00600301,Asociación para Evitar la Ceguera en México,OTHER
NCT01753401,Mallinckrodt,INDUSTRY
NCT00002501,Alliance for Clinical Trials in Oncology,OTHER
NCT00002501,National Cancer Institute (NCI),NIH
NCT00016601,National Institute of Allergy and Infectious Diseases (NIAID),NIH
NCT00016601,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH
NCT01930812,British Columbia Cancer Agency,OTHER
NCT01930812,Canadian Institutes of Health Research (CIHR),OTHER_GOV
NCT00504712,Barnsley Hospital,OTHER
NCT00923481,National Cancer Institute (NCI),NIH
NCT03289481,MaineHealth,OTHER
NCT03289481,HumanN,INDUSTRY
NCT06973681,"BrightGene Bio-Medical Technology Co., Ltd.",INDUSTRY
NCT01291381,Beijing Tongren Hospital,OTHER
NCT00356681,Amgen,INDUSTRY
NCT01879228,University of Pennsylvania,OTHER
NCT01879228,Children's Hospital of Philadelphia,OTHER
NCT02397928,NovoCure Ltd.,INDUSTRY
NCT04745728,Peking Union Medical College Hospital,OTHER
NCT01859728,Hospital de Cancer de Barretos - Fundacao Pio XII,OTHER
NCT06780670,Novartis Pharmaceuticals,INDUSTRY
NCT00143273,Ligand Pharmaceuticals,INDUSTRY
NCT00231673,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY
NCT06501573,Suzhou Sanegene Bio Inc.,INDUSTRY
NCT00290069,Sociedad Andaluza de Trasplantes de Organos y Tejidos,OTHER
NCT01456169,Takeda,INDUSTRY
NCT03842969,Hoffmann-La Roche,INDUSTRY
NCT01296269,Hadassah Medical Organization,OTHER
NCT01296269,Hebrew University of Jerusalem,OTHER
NCT04902183,Athens Medical Society,OTHER
NCT04902183,OBCTCD24 Ltd,UNKNOWN
NCT04902183,Elpen Pharmaceutical Co. Inc.,INDUSTRY
NCT01338883,"Tobira Therapeutics, Inc.",INDUSTRY
NCT04936841,"University of Wisconsin, Madison",OTHER
NCT04936841,Nektar Therapeutics,INDUSTRY
NCT02953054,"Teikoku Pharma USA, Inc.",INDUSTRY
NCT02953054,Premier Research,OTHER
NCT01499654,Edwin Wu,OTHER
NCT01499654,"Astellas Pharma Global Development, Inc.",INDUSTRY
NCT00858754,"Bausch Health Americas, Inc.",INDUSTRY
NCT00858754,"Progenics Pharmaceuticals, Inc.",INDUSTRY
NCT05053854,"Peter MacCallum Cancer Centre, Australia",OTHER
NCT00211354,"Manhattan Eye, Ear & Throat Hospital",OTHER
NCT00211354,Alcon Research,INDUSTRY
NCT02233205,Peking University Cancer Hospital & Institute,OTHER
NCT00445705,Allergan,INDUSTRY
NCT00786305,Groupe Hospitalier Pitie-Salpetriere,OTHER
NCT06539494,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),OTHER
NCT02454894,Beijing Children's Hospital,OTHER
NCT03603756,Chinese Academy of Medical Sciences,OTHER
NCT01504256,AIO-Studien-gGmbH,OTHER
NCT01504256,Neovii Biotech,INDUSTRY
NCT00006156,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH
NCT00006156,National Institutes of Health Clinical Center (CC),NIH
NCT04692766,"R-Pharm International, LLC",INDUSTRY
NCT04692766,Unimed Laboratories,INDUSTRY
NCT04692766,Data Management 365,INDUSTRY
NCT04692766,Center of Pharmaceutical Analytics LLC,INDUSTRY
NCT02295566,University Hospital Southampton NHS Foundation Trust,OTHER
NCT02295566,University of Southampton,OTHER
NCT04928066,Qilu Hospital of Shandong University,OTHER
NCT01909466,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY
NCT01909466,H. Lundbeck A/S,INDUSTRY
NCT00124956,Boston Children's Hospital,OTHER
NCT00124956,Glaser Pediatric Research Network,NETWORK
NCT00124956,Elizabeth Glaser Pediatric AIDS Foundation,OTHER
NCT06813651,ThromBio Pty. Ltd.,INDUSTRY
NCT02930551,Danish Pain Research Center,OTHER
NCT02930551,Aarhus University Hospital,OTHER
NCT00881751,Medical University of South Carolina,OTHER
NCT04146051,Cartesian Therapeutics,INDUSTRY
NCT00376051,Sunnybrook Health Sciences Centre,OTHER
NCT00376051,Alzheimer Society of Canada,OTHER
NCT00520351,University of Waterloo,OTHER
NCT00520351,Alcon Research,INDUSTRY
NCT07435051,"Second Affiliated Hospital, School of Medicine, Zhejiang University",OTHER
NCT00006251,Fred Hutchinson Cancer Center,OTHER
NCT00006251,National Cancer Institute (NCI),NIH
NCT00002951,University of Chicago,OTHER
NCT00002951,National Cancer Institute (NCI),NIH
NCT06707051,District Headquarters Teaching Hospital Sahiwal,OTHER
NCT02677051,"Rutgers, The State University of New Jersey",OTHER
NCT02677051,Rowan University,OTHER
NCT02843451,University of Chicago,OTHER
NCT03403751,Atox Bio Ltd,INDUSTRY
NCT03502551,"University of California, Davis",OTHER
NCT02076451,Daiichi Sankyo,INDUSTRY
NCT02612051,GlaxoSmithKline,INDUSTRY
NCT02950051,German CLL Study Group,OTHER
NCT02950051,Janssen-Cilag Ltd.,INDUSTRY
NCT02950051,Hoffmann-La Roche,INDUSTRY
NCT02950051,AbbVie,INDUSTRY
NCT02950051,Stichting Hemato-Oncologie voor Volwassenen Nederland,OTHER
NCT02950051,Nordic CLL Study Group (NCLLSG),UNKNOWN
NCT02950051,Swiss Cancer Institute,OTHER
NCT02950051,Cancer Trials Ireland,NETWORK
NCT02950051,Israeli CLL Study Group,UNKNOWN
NCT03598751,Biocad,INDUSTRY
NCT06237751,First People's Hospital of Chenzhou,OTHER
NCT03675802,Aljazeera Hospital,OTHER
NCT03675802,Cairo University,OTHER
NCT06278402,Jinnah Hospital,OTHER
NCT00291902,GlaxoSmithKline,INDUSTRY
NCT01986231,Legacy Health System,OTHER
NCT01986231,Juvenile Diabetes Research Foundation,OTHER
NCT01986231,Oregon Health and Science University,OTHER
NCT02477631,Sheba Medical Center,OTHER_GOV
NCT02477631,Hadassah Medical Organization,OTHER
NCT02477631,Tel Aviv Medical Center,OTHER
NCT02477631,Kaplan Medical Center,OTHER
NCT02477631,Ziv Medical Center,OTHER
NCT03681431,Fundación Pública Andaluza para la gestión de la Investigación en Sevilla,OTHER
NCT01164956,Dana-Farber Cancer Institute,OTHER
NCT01164956,Boston Children's Hospital,OTHER
NCT01722422,"University Hospital, Angers",OTHER_GOV
NCT05847322,University of Southampton,OTHER
NCT02313922,Zhejiang University,OTHER
NCT02313922,"Shanghai CP Guojian Pharmaceutical Co., Ltd.",INDUSTRY
NCT02248753,Maastricht University Medical Center,OTHER
NCT02248753,ZonMw: The Netherlands Organisation for Health Research and Development,OTHER
NCT00531453,"Millennium Pharmaceuticals, Inc.",INDUSTRY
NCT00531453,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY
NCT02407353,Pfizer,INDUSTRY
NCT00084253,Bristol-Myers Squibb,INDUSTRY
NCT03296137,Inge Marie Svane,OTHER
NCT04049253,Taipei Medical University Hospital,OTHER
NCT01246037,"Amsterdam UMC, location VUmc",OTHER
NCT01246037,ZonMw: The Netherlands Organisation for Health Research and Development,OTHER
NCT04639245,Fred Hutchinson Cancer Center,OTHER
NCT04639245,"SignalOne Bio, Inc.",INDUSTRY
NCT02148445,University of Kansas Medical Center,OTHER
NCT02148445,Patient-Centered Outcomes Research Institute,OTHER
NCT00603772,"Coria Laboratories, Ltd.",INDUSTRY
NCT02205372,Tanabe Pharma Corporation,INDUSTRY
NCT00576472,St. Jude Children's Research Hospital,OTHER
NCT00576472,National Cancer Institute (NCI),NIH
NCT06322095,"Suzhou Genhouse Bio Co., Ltd.",OTHER
NCT06861439,Wake Forest University Health Sciences,OTHER
NCT03213639,Assiut University,OTHER
NCT05318339,Chinese Academy of Medical Sciences,OTHER
NCT00323557,M.D. Anderson Cancer Center,OTHER
NCT00323557,Bayer,INDUSTRY
NCT03322657,The Cleveland Clinic,OTHER
NCT01672775,"Agensys, Inc.",INDUSTRY
NCT01941875,University of Alberta,OTHER
NCT04874675,University of Zimbabwe,OTHER
NCT04874675,UZ-CHS-PERFECT,UNKNOWN
NCT06334575,Maria Joyera Rodríguez,OTHER
NCT00005875,"Astex Pharmaceuticals, Inc.",INDUSTRY
NCT01659775,LG Life Sciences,INDUSTRY
NCT02194257,Boehringer Ingelheim,INDUSTRY
NCT02878057,Peking University Cancer Hospital & Institute,OTHER
NCT02878057,Hebei Medical University Fourth Hospital,OTHER
NCT02878057,Peking University First Hospital,OTHER
NCT02878057,Peking University Third Hospital,OTHER
NCT02878057,Shanxi Province Cancer Hospital,OTHER
NCT00463801,Novartis,INDUSTRY
NCT01473901,Novartis Pharmaceuticals,INDUSTRY
NCT06037577,ChemomAb Ltd.,INDUSTRY
NCT04585477,Stanford University,OTHER
NCT04585477,AstraZeneca,INDUSTRY
NCT00061477,Eli Lilly and Company,INDUSTRY
NCT06833112,The Affiliated Hospital Of Guizhou Medical University,OTHER
NCT02000375,Istituto Romagnolo per lo Studio dei Tumori Dino Amadori IRST S.r.l. IRCCS,OTHER
NCT02004275,Alliance for Clinical Trials in Oncology,OTHER
NCT02004275,National Cancer Institute (NCI),NIH
NCT02004275,Celgene Corporation,INDUSTRY
NCT02004275,"Millennium Pharmaceuticals, Inc.",INDUSTRY
NCT03068481,"Kissei Pharmaceutical Co., Ltd.",INDUSTRY
NCT03453281,Indonesia University,OTHER
NCT03453281,Bayer,INDUSTRY
NCT02497781,Pfizer,INDUSTRY
NCT02497781,PRA Health Sciences,INDUSTRY
NCT07466628,Liverpool John Moores University,OTHER
NCT00758628,"Bp Consulting, Inc",NETWORK
NCT02808728,DeClaire LaMacchia Orthopaedic Institute,OTHER
NCT00874328,"National Cancer Center, Korea",OTHER_GOV
NCT00874328,"Jeil Pharmaceutical Co., Ltd.",INDUSTRY
NCT01803828,University of Roma La Sapienza,OTHER
NCT05788328,Pfizer,INDUSTRY
NCT03860428,Lviv National Medical University,OTHER
NCT02815228,Bayer,INDUSTRY
NCT00004228,Children's Oncology Group,NETWORK
NCT00004228,National Cancer Institute (NCI),NIH
NCT03349073,Taivex Therapeutics Corporation,INDUSTRY
NCT03263273,Hovione Scientia Limited,INDUSTRY
NCT01018173,Hoffmann-La Roche,INDUSTRY
NCT06327269,Chang Gung Memorial Hospital,OTHER
NCT06327269,"Ministry of Health and Welfare, Taiwan",OTHER_GOV
NCT03586869,"ImmunityBio, Inc.",INDUSTRY
NCT05156983,Takeda,INDUSTRY
NCT05156983,"Takeda Development Center Americas, Inc.",INDUSTRY
NCT02481141,"SBI Pharmaceuticals Co, Ltd.",INDUSTRY
NCT01022541,Royal Marsden NHS Foundation Trust,OTHER
NCT01022541,Roche Pharma AG,INDUSTRY
NCT03698383,Korean Cancer Study Group,OTHER
NCT01068054,Siriraj Hospital,OTHER
NCT02540954,Bayer,INDUSTRY
NCT00753454,UCB Pharma,INDUSTRY
NCT02186405,Centre Hospitalier Universitaire de Nice,OTHER
NCT00673569,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER
NCT00673569,National Cancer Institute (NCI),NIH
NCT06107569,Hospital Universitario Evangelico de Curitiba,OTHER
NCT07266805,Pharvaris Netherlands B.V.,INDUSTRY
NCT06533605,"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd.",INDUSTRY
NCT00153166,Brigham and Women's Hospital,OTHER
NCT00153166,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT00190866,Eli Lilly and Company,INDUSTRY
NCT00190866,Boehringer Ingelheim,INDUSTRY
NCT02762266,Stanford University,OTHER
NCT02762266,National Cancer Institute (NCI),NIH
NCT04921566,Pharmtechnology LLC,INDUSTRY
NCT04921566,"ClinPharmInvest, LLC",OTHER
NCT00262522,Abbott,INDUSTRY
NCT02783222,Fondazione Sandro Pitigliani,OTHER
NCT02137356,Sheba Medical Center,OTHER_GOV
NCT02137356,Karyopharm Therapeutics Inc,INDUSTRY
NCT02194556,"Betta Pharmaceuticals Co., Ltd.",INDUSTRY
NCT02072356,Ohio State University Comprehensive Cancer Center,OTHER
NCT01473056,Akros Pharma Inc.,INDUSTRY
NCT00358722,Ineos Healthcare Limited,INDUSTRY
NCT05242822,Kinnate Biopharma,INDUSTRY
NCT00120822,London School of Hygiene and Tropical Medicine,OTHER
NCT00120822,"Medical Research Council Unit, The Gambia",OTHER
NCT00120822,"Department of State for Health and Social Welfare, The Gambia",OTHER_GOV
NCT02661022,"Stemline Therapeutics, Inc.",INDUSTRY
NCT02131922,Jagiellonian University,OTHER
NCT02157922,AlgiPharma AS,INDUSTRY
NCT02157922,Eurostars,OTHER
NCT02157922,Smerud Medical Research International AS,OTHER
NCT00386529,"Boryung Pharmaceutical Co., Ltd",INDUSTRY
NCT00386529,Kyungpook National University Hospital,OTHER
NCT00386529,The Catholic University of Korea,OTHER
NCT00386529,Cheil General Hospital and Women's Healthcare Center,OTHER
NCT00386529,Inje University,OTHER
NCT00386529,Keimyung University,OTHER
NCT00386529,Seoul National University Bundang Hospital,OTHER
NCT00386529,Severance Hospital,OTHER
NCT00386529,Yeungnam University Hospital,OTHER
NCT01269229,Yonsei University,OTHER
NCT04147351,National Taiwan University Hospital,OTHER
NCT06461429,University of Melbourne,OTHER
NCT06461429,"University of Auckland, New Zealand",OTHER
NCT06461429,Monash University,OTHER
NCT06461429,The University of Western Australia,OTHER
NCT06461429,La Trobe University,OTHER
NCT06461429,The University of New South Wales,OTHER
NCT06461429,University of Tasmania,OTHER
NCT06461429,Menzies School of Health Research,OTHER
NCT06461429,University of Adelaide,OTHER
NCT06461429,University of Sydney,OTHER
NCT06461429,Mater Medical Research Institute,OTHER
NCT03150329,City of Hope Medical Center,OTHER
NCT03150329,National Cancer Institute (NCI),NIH
NCT00961831,Bayer,INDUSTRY
NCT00570531,University of Michigan Rogel Cancer Center,OTHER
NCT00570531,"Genentech, Inc.",INDUSTRY
NCT00031031,KangLaiTe USA,INDUSTRY
NCT02719431,"Kowa Research Institute, Inc.",INDUSTRY
NCT04365231,"Hospital St. Joseph, Marseille, France",OTHER
NCT01281631,"Neuraltus Pharmaceuticals, Inc.",INDUSTRY
NCT05702931,"Rigshospitalet, Denmark",OTHER
NCT05702931,Aarhus University Hospital,OTHER
NCT05702931,Odense University Hospital,OTHER
NCT06235931,Second Affiliated Hospital of Soochow University,OTHER
NCT00003231,Swiss Cancer Institute,OTHER
NCT01750931,GlaxoSmithKline,INDUSTRY
NCT05109702,"HanAll BioPharma Co., Ltd.",INDUSTRY
NCT05109702,Daewoong Pharmaceutical Co. LTD.,INDUSTRY
NCT04814056,Shanghai Chest Hospital,OTHER
NCT04985656,Takeda,INDUSTRY
NCT00842556,AstraZeneca,INDUSTRY
NCT00842556,Bristol-Myers Squibb,INDUSTRY
NCT02519556,Casa Espirita Terra de Ismael,OTHER
NCT02519556,University of Sao Paulo,OTHER
NCT02551237,UNICANCER,OTHER
NCT04278937,Ain Shams Maternity Hospital,OTHER
NCT06485245,"Cascade Pharmaceuticals, Inc",OTHER
NCT00141037,National Institute of Allergy and Infectious Diseases (NIAID),NIH
NCT00141037,Astellas Pharma Inc,INDUSTRY
NCT00141037,Hoffmann-La Roche,INDUSTRY
NCT01520545,"Piramal Critical Care, Ltd.",INDUSTRY
NCT00735072,"University of California, San Francisco",OTHER
NCT00735072,Pfizer,INDUSTRY
NCT00735072,"amfAR, The Foundation for AIDS Research",OTHER
NCT00735072,Stanford University,OTHER
NCT00735072,Case Western Reserve University,OTHER
NCT00735072,Rush University,OTHER
NCT00326872,National Cancer Institute (NCI),NIH
NCT00691795,Columbia University,OTHER
NCT05389995,Northwestern University,OTHER
NCT00041795,NeoTherapeutics,INDUSTRY
NCT02877095,Adrian Hernandez,OTHER
NCT06464939,"HysensBio Co., Ltd",INDUSTRY
NCT06464939,The Forsyth Institute,OTHER
NCT01063439,Inje University,OTHER
NCT04676139,Mansoura University,OTHER
NCT06513039,Ain Shams University,OTHER
NCT05215977,"Mabwell (Shanghai) Bioscience Co., Ltd.",INDUSTRY
NCT01943877,Rajarajeswari Dental College & Hospital,OTHER
NCT02664077,NSABP Foundation Inc,NETWORK
NCT02664077,Bayer,INDUSTRY
NCT07477977,Sohag University,OTHER
NCT02300077,Washington University School of Medicine,OTHER
NCT07301775,Ahmad Zeeshan Jamil,OTHER
NCT07301775,Sahiwal medical college sahiwal,OTHER_GOV
NCT00203775,University of Connecticut,OTHER
NCT00203775,"Janssen Pharmaceutica N.V., Belgium",INDUSTRY
NCT02170857,Damascus University,OTHER
NCT07012057,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH
NCT03395977,Erasme University Hospital,OTHER
NCT03395977,Fonds Erasme,UNKNOWN
NCT03395977,Fonds National de la Recherche Scientifique,OTHER
NCT07493577,"Dr David Hasan, M.D.",OTHER
NCT07493577,National Institutes of Health (NIH),NIH
NCT07493577,National Institute of Neurological Disorders and Stroke (NINDS),NIH
NCT00173875,National Taiwan University Hospital,OTHER
NCT05394857,"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",INDUSTRY
NCT05494957,"Shanghai Pulmonary Hospital, Shanghai, China",OTHER
NCT05494957,Shanghai Public Health Clinical Center,OTHER_GOV
NCT05494957,"No.85 Hospital, Changning, Shanghai, China",OTHER
NCT05494957,Anhui Chest Hospital,OTHER
NCT05494957,"Shanghai Pudong New Area Pulmonary Hospital, China",UNKNOWN
NCT05494957,Huashan Hospital,OTHER
NCT05494957,The Sixth People's Hospital of Zhengzhou,OTHER
NCT01120457,Bristol-Myers Squibb,INDUSTRY
NCT04417101,Chang Gung Memorial Hospital,OTHER
NCT02976701,Dexa Medica Group,INDUSTRY
NCT02976701,Binawaluya Cardiac Hospital,UNKNOWN
NCT01735201,Allergan,INDUSTRY
NCT02273401,Boehringer Ingelheim,INDUSTRY
NCT00313001,Novo Nordisk A/S,INDUSTRY
NCT00366301,Brigham and Women's Hospital,OTHER
NCT00366301,Sanofi,INDUSTRY
NCT03308201,"Tianjin Hemay Pharmaceutical Co., Ltd",INDUSTRY
NCT01839812,Mayo Clinic,OTHER
NCT05070312,AstraZeneca,INDUSTRY
NCT01819012,Konkuk University Medical Center,OTHER
NCT05499312,Chinese University of Hong Kong,OTHER
NCT03113812,Araclon Biotech S.L.,INDUSTRY
NCT03246581,Kindeva Drug Delivery,INDUSTRY
NCT03246581,Simbec Research,INDUSTRY
NCT03246581,3M,INDUSTRY
NCT01027481,Medical University of Vienna,OTHER
NCT01169519,Duke University,OTHER
NCT03961919,Ciceri Fabio,OTHER
NCT03765619,University of Alabama at Birmingham,OTHER
NCT02700919,Mereo BioPharma,INDUSTRY
NCT00815919,Dana-Farber Cancer Institute,OTHER
NCT00815919,"Millennium Pharmaceuticals, Inc.",INDUSTRY
NCT00315328,Jaeb Center for Health Research,OTHER
NCT00315328,National Eye Institute (NEI),NIH
NCT01373528,Ottawa Hospital Research Institute,OTHER
NCT05667428,First Affiliated Hospital Xi'an Jiaotong University,OTHER
NCT00861328,"Traws Pharma, Inc.",INDUSTRY
NCT00096967,"Genentech, Inc.",INDUSTRY
NCT02202200,Assistance Publique - Hôpitaux de Paris,OTHER
NCT06942000,Al-Azhar University,OTHER
NCT06154200,Southern California College of Optometry at Marshall B. Ketchum University,OTHER
NCT00507000,Indian Council of Medical Research,OTHER_GOV
NCT00507000,"Ministry of Science and Technology, India",OTHER_GOV
NCT00637000,Indivior Inc.,INDUSTRY
NCT03413800,Ciusss de L'Est de l'Île de Montréal,OTHER
NCT03413800,Celgene,INDUSTRY
NCT03413800,C3i Center Inc.,UNKNOWN
NCT06647407,"Sanofi Pasteur, a Sanofi Company",INDUSTRY
NCT00003396,"University of Maryland, Baltimore",OTHER
NCT00003396,University of Maryland Greenebaum Cancer Center,OTHER
NCT03827096,"Bioinova, s.r.o.",INDUSTRY
NCT03827096,"University Hospital, Motol",OTHER
NCT07142980,"Jiangsu HengRui Medicine Co., Ltd.",INDUSTRY
NCT03125980,Fudan University,OTHER
NCT00161980,Baxter Healthcare Corporation,INDUSTRY
NCT04100096,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY
NCT06800196,"KinoTeck Therapeutics Co., Ltd",INDUSTRY
NCT01914796,Pfizer,INDUSTRY
NCT05177796,M.D. Anderson Cancer Center,OTHER
NCT05177796,National Cancer Institute (NCI),NIH
NCT02790580,"National University Hospital, Singapore",OTHER
NCT04149379,Norwegian Underwater Intervention (NUI),INDUSTRY
NCT04149379,Western Norway University of Applied Sciences,OTHER
NCT04149379,Helse-Bergen HF,OTHER
NCT00454896,Astellas Pharma Inc,INDUSTRY
NCT02832362,GlaxoSmithKline,INDUSTRY
NCT00853762,EMD Serono,INDUSTRY
NCT00853762,"Merck KGaA, Darmstadt, Germany",INDUSTRY
NCT00506246,B. Braun Melsungen AG,INDUSTRY
NCT00506246,B. Braun Medical International Trading Company Ltd.,INDUSTRY
NCT00506246,"Tigermed Consulting Co., Ltd",INDUSTRY
NCT02250846,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",OTHER
NCT05746546,Vanderbilt University Medical Center,OTHER
NCT05746546,National Institute of Mental Health (NIMH),NIH
NCT05746546,"University of North Carolina, Chapel Hill",OTHER
NCT07428746,Emory University,OTHER
NCT07428746,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH
NCT06361446,Kafrelsheikh University,OTHER
NCT05302388,Shanghai Institute Of Biological Products,INDUSTRY
NCT05302388,The First Affiliated Hospital of Bengbu Medical University,OTHER
NCT06472388,AC Camargo Cancer Center,OTHER
NCT00981227,Bial - Portela C S.A.,INDUSTRY
NCT01891227,Arbeitsgemeinschaft medikamentoese Tumortherapie,OTHER
NCT05501327,"Scarless Laboratories, Inc.",INDUSTRY
NCT01931527,Washington University School of Medicine,OTHER
NCT06496061,Fayoum University,OTHER
NCT03910361,"Dong-A ST Co., Ltd.",INDUSTRY
NCT06168461,"Anna Stanhewicz, PhD",OTHER
NCT01578161,Seoul National University Hospital,OTHER
NCT01101061,Amgen,INDUSTRY
NCT07509242,"Yohanes Firmansyah, dr, MH, MM",OTHER
NCT03025542,UCB Biopharma SRL,INDUSTRY
NCT03025542,Parexel,INDUSTRY
NCT00459342,National Cancer Institute (NCI),NIH
NCT00082186,Actelion,INDUSTRY
NCT04745273,Acibadem University,OTHER
NCT05269173,Capital Medical University,OTHER
NCT05269173,"Xinjiang Uygur Pharmaceutical Co., Ltd.",INDUSTRY
NCT05222269,Pentixapharm AG,INDUSTRY
NCT04859569,Luye Pharma Group Ltd.,INDUSTRY
NCT01926769,Gachon University Gil Medical Center,OTHER
NCT06241469,Wu Jun,OTHER
NCT04268069,"ORA, Inc.",INDUSTRY
NCT04268069,"Palatin Technologies, Inc",INDUSTRY
NCT06173869,Ferring Pharmaceuticals,INDUSTRY
NCT06840483,BicycleTx Limited,INDUSTRY
NCT01290783,Alchemia Oncology,INDUSTRY
NCT00002583,NCIC Clinical Trials Group,NETWORK
NCT00002583,National Cancer Institute (NCI),NIH
NCT00002583,SWOG Cancer Research Network,NETWORK
