study_id,intervention_name,intervention_type
NCT00453154,Cisplatin,DRUG
NCT00453154,Etoposide,DRUG
NCT00453154,Laboratory Biomarker Analysis,OTHER
NCT00453154,Placebo Administration,OTHER
NCT00453154,Sunitinib Malate,DRUG
NCT02559154,Bortezomib,DRUG
NCT02559154,Dexamethasone,DRUG
NCT02559154,Doxorubicin,DRUG
NCT02559154,Cyclophosphamide,DRUG
NCT02559154,Mitoxsnteone,DRUG
NCT02559154,Thalidomide,DRUG
NCT05983354,Oral metoclopramide and ibuprofen,DRUG
NCT05983354,Intravenous metoclopramide and ketorolac,DRUG
NCT00263354,Oxaliplatin,DRUG
NCT01258205,AMG 139,DRUG
NCT00427505,Deferasirox,DRUG
NCT03668405,Lu AF20513,DRUG
NCT03901105,flortaucipir F18,DRUG
NCT03901105,Brain PET Scan,PROCEDURE
NCT04326894,25 mg/week oral methotrexate tablets,DRUG
NCT04326894,25mg/week oral placebo tablets,DRUG
NCT05199194,Tenecteplase,DRUG
NCT05199194,Placebo,DRUG
NCT06644794,Progesterone-modified natural cycle preparation for frozen embryo transfer,DRUG
NCT06644794,Hormone replacement therapy cycle preparation for frozen embryo transfer,DRUG
NCT01200394,PF-00489791,DRUG
NCT01200394,Placebo,DRUG
NCT06325566,Rexlemestrocel-L + HA mixture,DRUG
NCT06325566,Saline,DRUG
NCT04983966,Desﬂurane,DRUG
NCT04983966,Remimazolam,DRUG
NCT03997266,Ampicillin,DRUG
NCT03997266,Gentamycin,DRUG
NCT03997266,Normal saline,DRUG
NCT02753166,Dexamethasone,DRUG
NCT02185066,Atorvastatin 20mg and Metformin XR 500mg (Reference),DRUG
NCT02185066,CJ-30056 20/500mg (Test),DRUG
NCT01934166,Nalmefene 18 mg,DRUG
NCT04169256,HYR-PB21,DRUG
NCT04169256,Liposomal bupivacaine,DRUG
NCT04169256,Normal Saline,OTHER
NCT02810756,New Pazopanib formulation,DRUG
NCT00947856,brentuximab vedotin,DRUG
NCT02883556,Pembrolizumab,DRUG
NCT06439056,"NEX-22A, a prolonged release formulation of liraglutide",DRUG
NCT00267956,CNTO 1275 63 mg,DRUG
NCT00267956,Placebo,DRUG
NCT02183051,Meloxicam 7.5 mg,DRUG
NCT02183051,Meloxicam 3.75 mg,DRUG
NCT02183051,Meloxicam 1.875 mg,DRUG
NCT02183051,Ibuprofen 200 mg,DRUG
NCT02183051,Placebo,DRUG
NCT02183051,Meloxicam 15 mg,DRUG
NCT02183051,Ibuprofen 400 mg,DRUG
NCT00730756,Fluticasone Furoate Nasal Spray,DRUG
NCT00730756,Placebo Nasal Spray,OTHER
NCT02576951,Galcanezumab,DRUG
NCT02576951,Placebo,DRUG
NCT00370851,Avastin (Bevacizumab),DRUG
NCT02530151,Morphine with clonidine,DRUG
NCT02530151,Normal saline,OTHER
NCT06599151,[18F]FTC-146,DRUG
NCT02973451,Laparoscopic Guided Bupivacaine,DRUG
NCT02973451,local Bupivacaine,DRUG
NCT01603251,Artemether-lumefantrine combination,DRUG
NCT01603251,Artemether-lumefantrine combination + single dose Ivermectin,DRUG
NCT01603251,Artemether-lumefantrine combination + repeated dose Ivermectin,DRUG
NCT00235651,Amphotericin B,DRUG
NCT05461131,BPZE1,BIOLOGICAL
NCT05461131,Placebo,BIOLOGICAL
NCT05461131,Azithromycin,DRUG
NCT05461131,Bordetella Pertussis Challenge Strain,OTHER
NCT06388031,Immune checkpoint inhibitor,DRUG
NCT00939731,PF-02341066,DRUG
NCT04301531,Mass testing using RDTs,OTHER
NCT04301531,Treatment for all cases confirmed positive malaria cases with ACTs,DRUG
NCT04301531,Determination of Hb,OTHER
NCT04301531,Household survey,OTHER
NCT04301531,Community-base management of malaria,OTHER
NCT01165502,CM3.1-AC100,DRUG
NCT01165502,Placebo,DRUG
NCT04990102,CPX-351,DRUG
NCT00899431,Lenalidomide,DRUG
NCT00899431,Fludarabine,DRUG
NCT00899431,Rituximab,DRUG
NCT00899431,Thymoglobulin,DRUG
NCT00899431,Stem Cell Transplantation,PROCEDURE
NCT00899431,Bendamustine,DRUG
NCT00899431,Allopurinol,DRUG
NCT04756531,PF-07321332 Dose 1,DRUG
NCT04756531,PF-07321332 Dose 2,DRUG
NCT04756531,PF-07321332 Dose 3,DRUG
NCT04756531,PF-07321332 Dose 4,DRUG
NCT04756531,PF-07321332 Dose 5,DRUG
NCT04756531,PF-07321332 Dose 4 or Placebo (Fed),DRUG
NCT02051231,Oxytocin,DRUG
NCT03530631,Adderall,DRUG
NCT03530631,Placebo,DRUG
NCT01539031,E2020,DRUG
NCT02832531,Rivaroxaban (15 mg),DRUG
NCT02832531,Aspirin,DRUG
NCT01162031,Velcade,DRUG
NCT03626831,Evolocumab Prefilled Syringe,DRUG
NCT03626831,Placebos,DRUG
NCT01088802,IMRT,RADIATION
NCT01088802,Cisplatin,DRUG
NCT01088802,Carboplatin,DRUG
NCT01915602,Refametinib (BAY86-9766),DRUG
NCT01915602,Sorafenib (BAY43-9006),DRUG
NCT02946437,Sevoflurane,DRUG
NCT02946437,Propofol,DRUG
NCT02946437,Midazolam,DRUG
NCT02946437,MIRUS™System,DEVICE
NCT00362037,Irbesartan (Aprovel),DRUG
NCT00833937,Zolpidem 10 mg tablets,DRUG
NCT00833937,AMBIEN® 10 mg tablets,DRUG
NCT04514237,BOS172767 enantiomer E1 or E2,DRUG
NCT04514237,Placebo,DRUG
NCT06244745,Administration of letrozole,DRUG
NCT07461545,Apixaban 2.5 MG,DRUG
NCT00410345,Mifepristone,DRUG
NCT00932945,LACTIC ACID(ND),DRUG
NCT05275972,Ripasudil,DRUG
NCT05275972,Placebo,DRUG
NCT04295772,DOR/ISL,DRUG
NCT05591872,LD+I+TRB,DRUG
NCT03644472,nitrate rich beetroot juice,DRUG
NCT03644472,nitrate depleted beetroot juice,DRUG
NCT04725695,Viscous Lidocaine,DRUG
NCT03359395,Alfentanil,DRUG
NCT03359395,Placebos,DRUG
NCT04212039,Saline Solution,DRUG
NCT04212039,Bupivacaine,DRUG
NCT05168839,FLUO+ : Intraoperative fluorescence angiography (IOFA) with indocyanine green (ICG).,DRUG
NCT02514577,IDP-122 Lotion,DRUG
NCT02514577,IDP-122 Vehicle Lotion,DRUG
NCT01204177,BAY86-9766 MEK Inhibitor + Sorafenib,DRUG
NCT04152577,R2-combination chemotherapy,DRUG
NCT04152577,R-combination chemotherapy,DRUG
NCT01993875,Lubiprostone,DRUG
NCT01993875,Placebo,DRUG
NCT00081757,Thalidomide,DRUG
NCT01553357,"Lenalidomide, dexamethasone",DRUG
NCT02133157,Sulfatinib,DRUG
NCT05143957,sapablursen,DRUG
NCT02634801,Fumaric Acid Esters,DRUG
NCT02634801,Methotrexate,DRUG
NCT02634801,Ixekizumab,DRUG
NCT01412073,oxytocin,DRUG
NCT01412073,Misoprostol,DRUG
NCT07002073,Intravenous Induction of Anesthesia,DRUG
NCT04918069,Capsaicin,DRUG
NCT04918069,Placebo,DRUG
NCT06062069,CT-868,DRUG
NCT06062069,CT-868 Pen Injector,DEVICE
NCT06062069,"CT-868 Pen Injector, Placebo",DRUG
NCT00124969,Amlodipine,DRUG
NCT00124969,Placebo,DRUG
NCT04452383,Ketamine + propofol,DRUG
NCT04452383,propofol,DRUG
NCT03746483,MS1819,DRUG
NCT03746483,Porcine PERT,DRUG
NCT04930783,CDX-301,DRUG
NCT04930783,NEOVAX,BIOLOGICAL
NCT04930783,Nivolumab,DRUG
NCT04930783,Pembrolizumab,DRUG
NCT06313541,SBRT or LDRT,RADIATION
NCT06313541,PD-1/PD-L1 inhibitor combined with platinum-based chemotherapy,DRUG
NCT01985841,Bevacizumb,DRUG
NCT01985841,5-Fluorouracil,DRUG
NCT01985841,Epirubicin,DRUG
NCT01985841,Cyclophosphamide,DRUG
NCT01985841,Docetaxel,DRUG
NCT06063941,1% Lugol's iodine solution,DRUG
NCT06063941,5% Lugol's iodine solution,DRUG
NCT00826241,Temozolomide,DRUG
NCT00826241,Lapatinib,DRUG
NCT01645254,Argemone mexicana,DRUG
NCT04501354,Mesenchymal Stem Cell,DRUG
NCT00003954,melphalan,DRUG
NCT00003954,autologous hematopoietic stem cell transplantation,PROCEDURE
NCT00003954,autologous bone marrow transplantation,PROCEDURE
NCT00003954,peripheral blood stem cell transplantation,PROCEDURE
NCT00003954,total-body irradiation,RADIATION
NCT00003954,cyclosporine,DRUG
NCT00003954,mycophenolate mofetil,DRUG
NCT00003954,therapeutic allogeneic lymphocytes,BIOLOGICAL
NCT06932705,PA-111,DRUG
NCT06932705,PA-111A,DRUG
NCT01074905,Artesunate,DRUG
NCT01074905,Chloroquine,DRUG
NCT01074905,Chloroquine/Primaquine,DRUG
NCT01314105,BIBF 1120 + PLD 30 mg/m2 + CBDCA AUC5 mg/mL*min,DRUG
NCT01314105,BIBF 1120+ PLD 30 mg/m2 + CBDCA AUC5 mg/mL*min,DRUG
NCT07572994,Lidocaine 2 %,DRUG
NCT07572994,Lidocaine + Sodium Bicarbonate,DRUG
NCT03739294,Fluticasone Furoate/ Vilanterol Trifenatate,DRUG
NCT05269394,E2814,DRUG
NCT05269394,Lecanemab,DRUG
NCT05269394,Matching Placebo (E2814),DRUG
NCT00661505,methoxy polyethylene glycol-epoetin beta,DRUG
NCT02089594,Hyperbaric Oxygen,DRUG
NCT02089594,No Hyperbaric Oxygen,DRUG
NCT07169994,YL202 for injection; Toripalimab injection,DRUG
NCT07169994,YL202 for injection; Furmonertinib Mesilate Tablets,DRUG
NCT07047066,Fluzoparib with Temozolomide,DRUG
NCT01440166,Drug,DRUG
NCT01440166,Placebo,OTHER
NCT04296266,Alda-341,DRUG
NCT01980056,Vosaroxin,DRUG
NCT04227756,LSD,DRUG
NCT04227756,Psilocybin,DRUG
NCT04227756,Mescaline,DRUG
NCT04227756,Placebo,OTHER
NCT04616456,[F-18]PBR06,DRUG
NCT04616456,Verdiperstat,DRUG
NCT01884922,Nilotinib,DRUG
NCT01884922,Vinblastine,DRUG
NCT01720056,Verapamil,DRUG
NCT01720056,Kenalog 10,DRUG
NCT01813422,Evolocumab,BIOLOGICAL
NCT01813422,Placebo,DRUG
NCT00486122,Atomoxetine Hydrochloride,DRUG
NCT00486122,Placebo,DRUG
NCT00976222,intravitreal injection with ranibizumab,DRUG
NCT02060656,Gemcitabine,DRUG
NCT02060656,Methylprednisolone,DRUG
NCT02060656,Rituximab,DRUG
NCT02060656,Cisplatin,DRUG
NCT02060656,Lenalidomide,DRUG
NCT06673056,N-Acetyl-L-Leucine,DRUG
NCT06673056,Placebo,OTHER
NCT02688556,cyclosporine,DRUG
NCT02688556,vehicle of OTX-101,DRUG
NCT04372602,Duvelisib,DRUG
NCT04372602,Peripheral blood draw,PROCEDURE
NCT04372602,Placebo,DRUG
NCT01461031,nefopam,DRUG
NCT01461031,normal saline (control),DRUG
NCT00445302,plerixafor,DRUG
NCT03166631,BI 891065,DRUG
NCT03166631,BI 754091,DRUG
NCT03580031,hCG,DRUG
NCT03580031,Saline Solution,DRUG
NCT03158831,Placebo-Controlled Graded Drug Challenge,DRUG
NCT07077902,Topical roflumilast 0.3% foam,DRUG
NCT05092802,HLX208,DRUG
NCT01630902,Torrent's Felodipine Extended-Release Tablets,DRUG
NCT05843253,Ribociclib,DRUG
NCT05843253,Everolimus,DRUG
NCT05843253,Temozolomide (TMZ),DRUG
NCT02580253,Individualized Chemotherapy,DRUG
NCT02580253,mFOLFOX6,DRUG
NCT04392037,Iberdomide plus low-dose cyclophosphamide and dexamethasone,DRUG
NCT06426537,Colchicine 0.5 MG Oral Tablet,DRUG
NCT05299437,Radioiodine optimized therapy,DRUG
NCT00266253,GK Activator (2),DRUG
NCT00266253,Metformin,DRUG
NCT04830137,NX-2127,DRUG
NCT00815945,PegLiposomal Doxorubicin,DRUG
NCT00815945,Carboplatin,DRUG
NCT01588145,HM61713,DRUG
NCT05841472,"Camrelizumab (SHR-1210), Pemetrexed, and Carboplatin",DRUG
NCT02320045,ITCA 650 (Exenatide in osmotic mini pump),DRUG
NCT02686645,Fecal Microbiota,BIOLOGICAL
NCT02686645,vancomycin,DRUG
NCT02686645,Loperamide,DRUG
NCT02686645,metronidazole,DRUG
NCT01572545,Denosumab,DRUG
NCT01572545,Zoledronic acid,DRUG
NCT02066545,CLS001 Topical Gel,DRUG
NCT02066545,CLS001 Topical Gel Vehicle,DRUG
NCT05987072,Sisunatovir,DRUG
NCT05144295,Lubiprostone Pill,DRUG
NCT05144295,Lactulose Oral Liquid Product,DRUG
NCT05144295,Bisacodyl 5 MG,DRUG
NCT05144295,Sodium Picosulfate,DRUG
NCT00828139,ziv-aflibercept,BIOLOGICAL
NCT00828139,topotecan hydrochloride,DRUG
NCT01093677,LIM-0705,DRUG
NCT01093677,Placebo,DRUG
NCT00000275,Flupenthixol,DRUG
NCT05665075,QN-023a,DRUG
NCT05665075,Cyclophosphamid,DRUG
NCT05665075,Fludarabine,DRUG
NCT05665075,Cytarabine,DRUG
NCT05665075,VP-16,DRUG
NCT01802775,edoxaban,DRUG
NCT01802775,Clopidogrel,DRUG
NCT01802775,Aspirin,DRUG
NCT00800475,Gemfibrozil Tablets,DRUG
NCT04224675,Atenolol,DRUG
NCT00268957,Sevelamer carbonate (Renvela®),DRUG
NCT00268957,Sevelamer hydrochloride (Renagel®),DRUG
NCT03621657,Low Dose FMT Capsule DE,DRUG
NCT03621657,Single Dose FMT Capsule DE,DRUG
NCT03621657,Placebo oral capsule,DRUG
NCT05739877,DA-1229_01 2.5/500mg (Before),DRUG
NCT05739877,DA-1229_01 2.5/500mg (After),DRUG
NCT03760575,Pembrolizumab,DRUG
NCT03760575,Indocyanine Green (ICG) Image-Guided Surgery,PROCEDURE
NCT03760575,Cisplatin,DRUG
NCT03760575,Pemetrexed,DRUG
NCT07682675,Zanzalintinib,DRUG
NCT01986075,Computer-assisted behavior therapy,BEHAVIORAL
NCT01986075,Mixed-Amphetamine Salts- Extended Release (MAS-ER),DRUG
NCT01986075,Placebo,DRUG
NCT02068157,Laboratory Biomarker Analysis,OTHER
NCT02068157,Photodynamic Therapy,DRUG
NCT02068157,Porfimer Sodium,DRUG
NCT04194957,Fluoropyrimidine (capecitabine or 5-fluorouracil),DRUG
NCT03034057,Sayana Press,DRUG
NCT03498001,GLP-1 agonists,DRUG
NCT03498001,Cardiac MRI,PROCEDURE
NCT03498001,Follow up by phone,OTHER
NCT01102101,Remifentanil,DRUG
NCT07121101,TRD205 tablets,DRUG
NCT07121101,placebo,DRUG
NCT03654612,Apatinib,DRUG
NCT05022212,LACTIN-V,DRUG
NCT05022212,Placebo,DRUG
NCT01699412,Clobetasol,DRUG
NCT01699412,Dexamethasone,DRUG
NCT06257212,BCG vaccine (Danish strain 1331),DRUG
NCT06257212,MMR Vaccine,DRUG
NCT06257212,Placebo,DRUG
NCT07254481,VB19055,DRUG
NCT07254481,VB19055 placebo,DRUG
NCT00513019,Lamictal (lamotrigine),DRUG
NCT00513019,Placebo,DRUG
NCT01142219,L-arginine,DRUG
NCT01142219,Placebo,DRUG
NCT04062019,Interleukin-2,DRUG
NCT00236119,CEP-701 20mg,DRUG
NCT00236119,CEP-701 40mg,DRUG
NCT00236119,CEP-701 60mg,DRUG
NCT00236119,CEP-701 80mg,DRUG
NCT00288730,nesiritide,DRUG
NCT00906828,levodopa/carbidopa,DRUG
NCT00906828,entacapone,DRUG
NCT00906828,tolcapone,DRUG
NCT00223730,Citrulline,DRUG
NCT00223730,Placebo,DRUG
NCT06106828,Satralizumab,DRUG
NCT06106828,Placebo,DRUG
NCT02225665,SB-728mR-T,GENETIC
NCT02225665,Cyclophosphamide,DRUG
NCT01714765,Dovitinib,DRUG
NCT01714765,Everolimus,DRUG
NCT01262365,Epratuzumab,DRUG
NCT01262365,Placebo,DRUG
NCT00496665,Vandetanib,DRUG
NCT00496665,Cyclophosphamide,DRUG
NCT00496665,Methotrexate,DRUG
NCT04198467,Platelet rich plasma,BIOLOGICAL
NCT04198467,Hyaluronic Acid,DRUG
NCT04899427,orelabrutinib,DRUG
NCT04899427,Sintilimab,DRUG
NCT04899427,Tislelizumab,DRUG
NCT05142527,ADM03820,DRUG
NCT05142527,Placebo,OTHER
NCT04167761,Ertugliflozin,DRUG
NCT02649361,Anlotinib,DRUG
NCT02649361,Placebo,DRUG
NCT04650542,HBI-3000,DRUG
NCT04650542,Paroxetine,DRUG
NCT01147042,IFN-gamma,DRUG
NCT04743986,Platelet Rich Plasma (PRP),BIOLOGICAL
NCT04743986,Corticosteroid (CS),DRUG
NCT05205486,Cefazolin 3gm for Injection USP and Dextrose Injection USP,DRUG
NCT01220570,Ridaforolimus + Dalotuzumab,DRUG
NCT01220570,Ridaforolimus,DRUG
NCT01220570,Dalotuzumab,DRUG
NCT02578186,Diphenhydramine Hydrochloride,DRUG
NCT02578186,Placebo,DRUG
NCT01126073,Niacin/laropiprant,DRUG
NCT01126073,Placebo,DRUG
NCT03163173,GC4419,DRUG
NCT00236873,topiramate,DRUG
NCT03917069,Chemotherapeutic Combinations,DRUG
NCT03917069,chemotherapy,DRUG
NCT02350569,LDV/SOF,DRUG
NCT06644183,Roginolisib,DRUG
NCT06644183,Venetoclax,DRUG
NCT06644183,Rituximab,DRUG
NCT00935883,Eculizumab,DRUG
NCT00935883,Saline,DRUG
NCT05784441,JNJ-90009530,DRUG
NCT03101241,CX-8998,DRUG
NCT03101241,Placebo,DRUG
NCT00272441,inhaled corticosteroids,DRUG
NCT05701241,Somatostatin analog,DRUG
NCT04724369,18F-MFBG,DRUG
NCT01333605,IGEV,DRUG
NCT04146805,BLD-0409,DRUG
NCT04146805,Control: Placebo,DRUG
NCT06325605,Bifidobacterium,DRUG
NCT06325605,High-frequency rTMS,DEVICE
NCT06325605,Escitalopram Oxalate,DRUG
NCT07283094,Decitabine,DRUG
NCT07283094,Venetoclax,DRUG
NCT07283094,FHD-286,DRUG
NCT00511394,20% Human Albumin,DRUG
NCT00511394,Normal Saline,DRUG
NCT06821594,Furosemide,DRUG
NCT06072794,VL-PX10,DRUG
NCT04329494,Biopsy,PROCEDURE
NCT04329494,Cisplatin,DRUG
NCT04329494,Doxorubicin,DRUG
NCT04329494,Fluorouracil,DRUG
NCT04329494,Intraperitoneal Chemotherapy,DEVICE
NCT04329494,Irinotecan,DRUG
NCT04329494,Leucovorin,DRUG
NCT04329494,Mitomycin,DRUG
NCT04329494,Oxaliplatin,DRUG
NCT04329494,Quality-of-Life Assessment,OTHER
NCT04329494,Questionnaire Administration,OTHER
NCT00005866,busulfan,DRUG
NCT00005866,cyclophosphamide,DRUG
NCT00005866,cyclosporine,DRUG
NCT00005866,methotrexate,DRUG
NCT00005866,allogeneic bone marrow transplantation,PROCEDURE
NCT00005866,radiation therapy,RADIATION
NCT07118566,Hyperthermia,PROCEDURE
NCT07118566,Immunotherapy,DRUG
NCT00573066,Dexmedetomidine,DRUG
NCT00931866,Diclofenac Sodium,DRUG
NCT00931866,Matching Placebo Patch,DRUG
NCT04190966,Integrated Behavioural therapy,BEHAVIORAL
NCT04190966,Integrated Pharmacotherapy,DRUG
NCT04190966,Integrated Web-based application,DEVICE
NCT02422056,Tranexamic Acid,DRUG
NCT02422056,Saline,DRUG
NCT00387556,Ondansetron,DRUG
NCT03295656,Sulfur hexafluoride lipid-type A microspheres,DRUG
NCT02108756,L-pantoprazole sodium,DRUG
NCT02108756,Panmeilu,DRUG
NCT06514222,Paracetamol and Ibuprofen. The combination of the Paracetamol and Ibuprofen will be given together every 8 hours,DRUG
NCT06514222,Paracetamol and Ibuprofen. The combination of the Paracetamol and Ibuprofen will be given alternatively every four hours,DRUG
NCT05751356,TR128,DRUG
NCT01744756,Bevacizumab,DRUG
NCT01777256,GSK2586184 50 mg,DRUG
NCT01777256,GSK2586184 100 mg,DRUG
NCT01777256,GSK2586184 200 mg,DRUG
NCT01777256,GSK2586184 400 mg,DRUG
NCT01777256,Placebo,DRUG
NCT05506956,Flotetuzumab,DRUG
NCT03637556,DST-0509,DRUG
NCT03637556,Jadenu,DRUG
NCT03637556,Exjade,DRUG
NCT00257556,Menotrophin,DRUG
NCT00257556,Follitropin alfa,DRUG
NCT06792422,Oral semaglutide,DRUG
NCT06792422,Placebo,DRUG
NCT03365622,acetaminophen,DRUG
NCT03365622,Acetaminophen,DRUG
NCT03365622,Placebos,DRUG
NCT03365622,Placebo Oral Tablet,DRUG
NCT02111122,Sodium Oxybate,DRUG
NCT02111122,Placebo,DRUG
NCT00877929,Telmisartan 80,DRUG
NCT00877929,Amlodipine 10,DRUG
NCT06289829,remifentanil of the assigned dose,DRUG
NCT06289829,Ambu Auragain for airway management,DEVICE
NCT04775329,Rifaximin,DRUG
NCT05427331,FMT capsule,DRUG
NCT01636531,gantenerumab,DRUG
NCT01288131,Cyclosporine combine with mycophenolate mofetil,DRUG
NCT01288131,Cyclophosphamide + pred,DRUG
NCT01957631,Corticosteroid injection (Bupivacaine and Depo Medrol),DRUG
NCT01957631,Platelet rich plasma injection,BIOLOGICAL
NCT06683131,Tafolecimab,DRUG
NCT06754631,Continuous Nebulization of Salbutamol,DRUG
NCT06754631,Intermittent Nebulization of Salbutamol,DRUG
NCT00435331,sapropterin dihydrochloride (6R-BH4),DRUG
NCT04314531,TILD,DRUG
NCT04314531,matching placebo injections,DRUG
NCT03804931,Fecal microbiota transplantation,PROCEDURE
NCT03804931,Infusion of Saline,PROCEDURE
NCT03804931,5-Aminosalicylic acid(5-ASA) and/or Prednisone,DRUG
NCT03804229,Butylphthalide soft capsule,DRUG
NCT03804229,Placebo soft capsule,DRUG
NCT00022529,BMS-214662,DRUG
NCT00022529,trastuzumab,BIOLOGICAL
NCT00022529,pharmacological study,OTHER
NCT02259829,Telmisartan/Amlodipine,DRUG
NCT02259829,Telmisartan,DRUG
NCT02259829,Amlodipine,DRUG
NCT05234853,PUR001,DRUG
NCT02931253,Metformin,DRUG
NCT05588453,Natural Killer Cell Therapy,BIOLOGICAL
NCT05588453,Temozolomide,DRUG
NCT02563353,whole-body vibration,OTHER
NCT02563353,teriparatide,DRUG
NCT01727453,warfarin,DRUG
NCT01727453,Bemiparina,DRUG
NCT05435053,Nivolumab,DRUG
NCT05435053,Irreversible electroporation (IRE),DEVICE
NCT04704453,Capsaïcin patch (Qutenza®),DRUG
NCT04704453,Amitriptyline (Laroxyl®),DRUG
NCT01187953,Prograf (tacrolimus),DRUG
NCT01187953,LCP-Tacro,DRUG
NCT01997853,Omega 3 fatty acid,DRUG
NCT01997853,Placebo,DRUG
NCT00303953,belinostat,DRUG
NCT07318337,Drospirenone Ethinyl Estradiol (20 microgram),DRUG
NCT07318337,Drospirenone Ethinyl Estradiol (30 microgram),DRUG
NCT07096037,Urtica dioica cataplasm,OTHER
NCT07096037,Placebo,OTHER
NCT07096037,Vitamin D,DRUG
NCT07096037,Resting conditions,BEHAVIORAL
NCT00299845,Lansoprazole,DRUG
NCT01010672,Ridaforolimus,DRUG
NCT04731272,Dulaglutide 0.75Mg/0.5Ml Inj Pen,DRUG
NCT00940472,DMMET-01,DRUG
NCT00940472,Metformin Hydrochloride,DRUG
NCT01095445,Peginterferon alfa-2b (Pegetron) plus ribavirin (Rebetol),DRUG
NCT00893945,DC/AAT,DRUG
NCT00893945,DC/AAT-Flu,DRUG
NCT00893945,DC/KLH,DRUG
NCT04588545,Radiation Therapy,RADIATION
NCT04588545,Pertuzumab,DRUG
NCT04588545,Trastuzumab,DRUG
NCT02443545,Deferiprone,DRUG
NCT05535972,FF/UMEC/VI,DRUG
NCT02226172,Glasdegib (PF-04449913),DRUG
NCT02226172,Placebo,DRUG
NCT00257972,aripiprazole,DRUG
NCT07168395,Non-selective beta blockers,DRUG
NCT07168395,Retrograde transvenous obliteration,PROCEDURE
NCT02726295,E. coli Nissle 1917(Mutaflor®),DRUG
NCT02726295,Placebo,DRUG
NCT05016895,Single-dose azithromycin,DRUG
NCT03484195,FOLFOXIRI,DRUG
NCT02489695,Axitinib,DRUG
NCT05565495,Hydromorphone,DRUG
NCT05431595,Haloperidol,DRUG
NCT05431595,Chlorpromazine,DRUG
NCT05431595,Valproate,DRUG
NCT05431595,Placebo,DRUG
NCT00318539,Quetiapine,DRUG
NCT07018739,Wharton's jelly-derived mesenchymal stem cells,BIOLOGICAL
NCT07018739,0.9 % Normal Saline,DRUG
NCT01293539,Melphalan hydrochloride,DRUG
NCT01210339,Clopidogrel,DRUG
NCT01210339,Esomeprazole/ASA,DRUG
NCT06250777,Trastuzumab deruxtecan,DRUG
NCT04456777,Vortioxetine,DRUG
NCT05821777,LB101,DRUG
NCT02070939,PF-06260414,DRUG
NCT02070939,Placebo,DRUG
NCT07204977,Acamprosate calcium,DRUG
NCT00164177,HalfLytely,DRUG
NCT05400577,"Sotorasib, 960 mg, oral daily dose for 4 weeks (28 days)",DRUG
NCT03460977,Mervometostat (PF-06821497),DRUG
NCT03460977,Enzalutamide,DRUG
NCT03460977,Itraconazole,DRUG
NCT03990077,HL-085,DRUG
NCT03990077,Docetaxel,DRUG
NCT02631577,Atezolizumab (MPDL3280A) [TECENTRIQ],DRUG
NCT02631577,Lenalidomide,DRUG
NCT02631577,Obinutuzumab,DRUG
NCT04062357,Lidocaine 5% spray,DRUG
NCT04062357,Placebo,OTHER
NCT00600301,Triamcinolone Acetonide and Bevacizumab,DRUG
NCT01753401,Acthar,DRUG
NCT01753401,Placebo,DRUG
NCT01753401,Steroid Drug,DRUG
NCT00002501,filgrastim,BIOLOGICAL
NCT00002501,cyclophosphamide,DRUG
NCT00016601,Indinavir sulfate,DRUG
NCT00016601,Ritonavir,DRUG
NCT00016601,Nelfinavir mesylate,DRUG
NCT00016601,Efavirenz,DRUG
NCT00016601,Nevirapine,DRUG
NCT00016601,Medroxyprogesterone acetate,DRUG
NCT01930812,NaF PET/CT Imaging,PROCEDURE
NCT01930812,99mTc-medronate whole body bone scan with SPECT,PROCEDURE
NCT01930812,18F-Sodium Fluoride (NaF),DRUG
NCT00504712,Testosterone,DRUG
NCT00504712,saline,DRUG
NCT00923481,Fostamatinib disodium,DRUG
NCT03289481,Active lozenge,DIETARY_SUPPLEMENT
NCT03289481,Placebo,DRUG
NCT06973681,BGM0504,DRUG
NCT06973681,Placebo,DRUG
NCT01291381,Dermatophagoides pteronyssinus,DRUG
NCT01291381,Pharmacotherapy,DRUG
NCT00356681,AMG 706 placebo,DRUG
NCT00356681,Bevacizumab,DRUG
NCT00356681,AMG 706,DRUG
NCT00356681,Paclitaxel,DRUG
NCT01879228,Sitagliptin,DRUG
NCT01879228,Placebo,DRUG
NCT02397928,NovoTTF-100L device,DEVICE
NCT02397928,Pemetrexed,DRUG
NCT02397928,Cisplatin or Carboplatin,DRUG
NCT04745728,Prednisone,DRUG
NCT04745728,Cyclophosphamide,DRUG
NCT04745728,Rituximab,DRUG
NCT01859728,Irinotecan,DRUG
NCT01859728,Cisplatin,DRUG
NCT01859728,Gemcitabine,DRUG
NCT06780670,Investigators choice of SoC,DRUG
NCT06780670,AAA817,DRUG
NCT00143273,lasofoxifene,DRUG
NCT00143273,Placebo,DRUG
NCT00143273,Lasofoxifene,DRUG
NCT00231673,Topiramate,DRUG
NCT06501573,SGB-9768,DRUG
NCT06501573,Placebo,OTHER
NCT00290069,Tacrolimus,DRUG
NCT00290069,Rapamycin,DRUG
NCT01456169,Azilsartan medoxomil/placebo,DRUG
NCT01456169,Azilsartan medoxomil - chlorthalidone,DRUG
NCT03842969,RO7234292 (RG6042),DRUG
NCT01296269,Oxytocin,DRUG
NCT01296269,Arginine Vasopressin,DRUG
NCT01296269,placebo,DRUG
NCT04902183,CovenD24,DRUG
NCT01338883,Cenicriviroc 100 mg,DRUG
NCT01338883,Cenicriviroc 200 mg + Truvada,DRUG
NCT01338883,Sustiva + Truvada,DRUG
